epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7407,1.98458,3.42569,1.77525,0.02523,0.43493,0.1956,0.10125,1.36248,3.29876,1.24886,0.00011669,0.00011669,0.00011669
2,38.4557,1.55319,3.10383,1.51692,0.02699,0.49611,0.30301,0.18267,1.37941,3.21287,1.17192,0.000247575,0.000247575,0.000247575
3,55.3663,1.47127,2.58478,1.36566,0.93822,0.14577,0.34036,0.2382,1.44441,2.99655,1.17262,0.000375818,0.000375818,0.000375818
4,72.1523,1.46464,2.20191,1.3559,0.86185,0.28705,0.36704,0.22065,1.6736,2.81231,1.32661,0.000501422,0.000501422,0.000501422
5,88.7022,1.43859,1.89353,1.33207,0.89892,0.22978,0.33088,0.22311,1.60371,2.98644,1.30089,0.000624385,0.000624385,0.000624385
6,105.666,1.3469,1.6412,1.26963,0.92519,0.20205,0.41157,0.27545,1.54732,2.91741,1.25346,0.000744707,0.000744707,0.000744707
7,123.611,1.46851,1.70611,1.37852,0.84204,0.31403,0.50544,0.30769,1.84834,2.57832,1.36069,0.000862389,0.000862389,0.000862389
8,140.974,1.32467,1.47907,1.27115,0.76471,0.33497,0.5079,0.29275,1.96058,2.37144,1.42843,0.00097743,0.00097743,0.00097743
9,158.3,1.2715,1.4124,1.24126,0.67581,0.46254,0.56263,0.3235,1.83616,1.8993,1.38998,0.00108983,0.00108983,0.00108983
10,175.226,1.26926,1.38485,1.22307,0.60998,0.47493,0.57307,0.31931,1.78211,1.76464,1.35981,0.00119959,0.00119959,0.00119959
11,191.871,1.29313,1.3678,1.24042,0.58887,0.53654,0.58444,0.30561,1.832,1.65325,1.38643,0.00130671,0.00130671,0.00130671
12,208.37,1.246,1.32523,1.2271,0.55867,0.54369,0.54875,0.27585,1.93657,1.68984,1.44281,0.00141119,0.00141119,0.00141119
13,224.672,1.23109,1.2442,1.21315,0.59392,0.55786,0.57867,0.29603,1.90702,1.71481,1.41632,0.00146896,0.00146896,0.00146896
14,240.8,1.18531,1.18763,1.17196,0.64069,0.57514,0.5997,0.32291,1.77992,1.70021,1.3425,0.00145246,0.00145246,0.00145246
15,257.06,1.20433,1.25942,1.19037,0.65545,0.59148,0.63719,0.35215,1.74114,1.58415,1.30364,0.00143595,0.00143595,0.00143595
16,273.52,1.18968,1.18607,1.17246,0.67722,0.63699,0.7023,0.4071,1.55761,1.32654,1.21168,0.00141945,0.00141945,0.00141945
17,290.668,1.27749,1.29768,1.27127,0.70558,0.56549,0.64391,0.38209,1.55878,1.29055,1.22939,0.00140295,0.00140295,0.00140295
18,307.856,1.19238,1.19468,1.1986,0.61615,0.65171,0.6747,0.39182,1.59798,1.29493,1.24068,0.00138644,0.00138644,0.00138644
19,324.735,1.20471,1.20815,1.2025,0.65006,0.68943,0.69026,0.38972,1.604,1.27592,1.22105,0.00136994,0.00136994,0.00136994
20,341.684,1.20622,1.20759,1.19786,0.64152,0.70105,0.67822,0.39175,1.48678,1.25446,1.1976,0.00135344,0.00135344,0.00135344
21,358.4,1.22343,1.20256,1.20756,0.63767,0.70235,0.71144,0.41025,1.36709,1.2173,1.16105,0.00133693,0.00133693,0.00133693
22,374.745,1.15035,1.11382,1.16138,0.64696,0.69357,0.70129,0.41593,1.40905,1.22012,1.15885,0.00132043,0.00132043,0.00132043
23,391.38,1.16742,1.11698,1.15629,0.63106,0.69015,0.69808,0.40783,1.49349,1.22531,1.18818,0.00130393,0.00130393,0.00130393
24,407.466,1.0915,1.08178,1.12533,0.65366,0.72672,0.72272,0.41983,1.37856,1.22922,1.12136,0.00128742,0.00128742,0.00128742
25,424.124,1.16248,1.14149,1.1692,0.63809,0.71739,0.72491,0.43558,1.35891,1.23203,1.10987,0.00127092,0.00127092,0.00127092
26,440.694,1.11422,1.1191,1.15325,0.61341,0.77668,0.73169,0.45612,1.30084,1.15534,1.10073,0.00125442,0.00125442,0.00125442
27,456.948,1.06735,1.03661,1.11234,0.6687,0.7205,0.71016,0.43349,1.39556,1.10701,1.15699,0.00123791,0.00123791,0.00123791
28,473.263,1.08141,1.08101,1.1225,0.70419,0.73279,0.73883,0.46493,1.2827,1.04416,1.09512,0.00122141,0.00122141,0.00122141
29,489.514,1.0508,1.02308,1.09278,0.73099,0.79538,0.81224,0.4938,1.2869,1.02816,1.099,0.00120491,0.00120491,0.00120491
30,505.786,1.11708,1.11492,1.14963,0.78609,0.81242,0.85012,0.51504,1.24118,1.01515,1.09047,0.0011884,0.0011884,0.0011884
31,522.32,1.13084,1.14711,1.15083,0.73893,0.7575,0.81958,0.50568,1.2517,1.06849,1.09623,0.0011719,0.0011719,0.0011719
32,538.656,1.04284,1.06503,1.12861,0.75841,0.73247,0.82908,0.5078,1.28948,1.16251,1.12146,0.0011554,0.0011554,0.0011554
33,554.946,1.07506,1.04288,1.13034,0.77312,0.75519,0.81573,0.50085,1.36452,1.15373,1.16674,0.00113889,0.00113889,0.00113889
34,571.412,1.06461,1.06272,1.1358,0.79789,0.75555,0.81466,0.49782,1.30817,1.09954,1.14448,0.00112239,0.00112239,0.00112239
35,588.207,1.10729,1.06012,1.14463,0.80202,0.75186,0.80342,0.50517,1.29413,1.04512,1.12595,0.00110589,0.00110589,0.00110589
36,604.673,1.03473,0.97023,1.09811,0.78958,0.79358,0.8248,0.51139,1.40923,1.05614,1.18749,0.00108938,0.00108938,0.00108938
37,621.271,1.0652,1.00955,1.09746,0.81555,0.78445,0.8416,0.52242,1.48363,1.05209,1.23644,0.00107288,0.00107288,0.00107288
38,638.133,1.01009,0.97951,1.0919,0.8054,0.78445,0.84788,0.53231,1.40027,1.03186,1.17625,0.00105638,0.00105638,0.00105638
39,654.298,1.04464,0.99428,1.12664,0.7707,0.79314,0.8413,0.5304,1.28361,1.02102,1.10444,0.00103987,0.00103987,0.00103987
40,670.724,1.09855,1.03505,1.1577,0.80619,0.78181,0.83931,0.52039,1.32021,1.01474,1.123,0.00102337,0.00102337,0.00102337
41,686.967,1.0984,1.01656,1.14337,0.80844,0.76439,0.83628,0.52173,1.34125,1.00608,1.13673,0.00100687,0.00100687,0.00100687
42,703.434,1.00781,0.94251,1.08392,0.78088,0.78778,0.84465,0.53284,1.37118,1.00203,1.16465,0.000990365,0.000990365,0.000990365
43,719.814,0.99178,0.91362,1.07381,0.81758,0.77263,0.85233,0.54695,1.3173,1.00999,1.15178,0.000973861,0.000973861,0.000973861
44,735.913,1.01987,0.91854,1.06994,0.81148,0.79597,0.84475,0.53727,1.36761,1.01843,1.18585,0.000957358,0.000957358,0.000957358
45,751.908,1.01068,0.93543,1.08892,0.80704,0.8092,0.84443,0.53332,1.40318,1.00201,1.1909,0.000940855,0.000940855,0.000940855
46,768.211,1.05333,0.95537,1.10799,0.7765,0.83411,0.83067,0.48312,1.59966,1.03672,1.27532,0.000924352,0.000924352,0.000924352
47,784.309,1.02683,0.93994,1.0759,0.79107,0.80011,0.81824,0.48361,1.54422,1.06214,1.21659,0.000907848,0.000907848,0.000907848
48,800.791,1.05845,0.96548,1.10095,0.79441,0.82784,0.86471,0.53009,1.31339,1.03838,1.09997,0.000891345,0.000891345,0.000891345
49,816.876,1.01873,0.9502,1.09462,0.79682,0.82539,0.8726,0.55014,1.18807,1.00865,1.05157,0.000874842,0.000874842,0.000874842
50,833.342,0.99702,0.90741,1.06334,0.81764,0.80873,0.85588,0.55382,1.18818,0.98587,1.05009,0.000858338,0.000858338,0.000858338
