epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.56019,3.18612,7.19705,1.79109,0,0,0,0,3.33253,8.96953,1.57491,0,0,0
2,3.17411,4.1769,7.70472,2.58716,0,0,0,0,3.25471,8.96006,1.5076,1.9604e-05,1.9604e-05,1.9604e-05
3,4.69517,2.8711,7.32278,1.69415,0,0,0,0,3.25471,8.96006,1.5076,3.8416e-05,3.8416e-05,3.8416e-05
4,6.29787,4.05421,5.42671,2.37044,0,0,0,0,3.26991,8.27565,1.4154,5.6436e-05,5.6436e-05,5.6436e-05
5,7.76753,3.02829,5.34353,1.77845,0,0,0,0,3.26991,8.27565,1.4154,7.3664e-05,7.3664e-05,7.3664e-05
6,9.24431,2.59252,7.85289,1.58763,0,0,0,0,3.26991,8.27565,1.4154,9.01e-05,9.01e-05,9.01e-05
7,10.8018,3.59352,5.92208,2.20106,0,0,0,0,2.96634,6.62487,1.24463,0.000105744,0.000105744,0.000105744
8,12.3365,3.66472,6.08574,2.23799,0,0,0,0,2.96634,6.62487,1.24463,0.000120596,0.000120596,0.000120596
9,13.8653,2.77783,5.75935,1.7631,0,0,0,0,2.96634,6.62487,1.24463,0.000134656,0.000134656,0.000134656
10,15.4232,3.53541,6.53323,2.05288,0,0,0,0,2.96634,6.62487,1.24463,0.000147924,0.000147924,0.000147924
11,16.9275,3.11858,7.02443,1.7585,0,0,0,0,2.2748,5.92578,0.97506,0.0001604,0.0001604,0.0001604
12,18.4611,2.74329,8.70764,1.45908,0,0,0,0,2.2748,5.92578,0.97506,0.000172084,0.000172084,0.000172084
13,19.9567,3.33066,5.7157,1.95758,0,0,0,0,2.2748,5.92578,0.97506,0.000182976,0.000182976,0.000182976
14,21.4695,2.79277,5.34729,1.87177,0,0,0,0,2.2748,5.92578,0.97506,0.000193076,0.000193076,0.000193076
