epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.10887,3.3295,4.17238,2.04052,0,0,0,0,3.46194,5.26193,1.5363,2e-05,2e-05,2e-05
2,7.86722,3.31936,4.17686,2.0211,0,0,0,0,3.24174,5.00938,1.42808,5.9406e-05,5.9406e-05,5.9406e-05
3,11.6606,3.57328,4.15383,1.92391,0,0,0,0,3.02589,4.75035,1.32949,9.802e-05,9.802e-05,9.802e-05
4,15.3702,2.9866,3.95346,1.81305,0.00067,0.03226,0.00036,0.00011,2.61853,4.68806,1.21765,0.000135842,0.000135842,0.000135842
5,19.0952,2.6834,3.91908,1.60284,0.00067,0.03226,0.00037,0.00011,2.48134,4.50855,1.18426,0.000172872,0.000172872,0.000172872
6,22.834,2.63911,3.76358,1.53813,0.00133,0.06452,0.00073,0.00033,2.31101,4.40789,1.15901,0.00020911,0.00020911,0.00020911
7,26.5001,2.80004,3.82968,1.63166,0.00067,0.03226,0.00036,0.00025,2.08443,4.3105,1.11776,0.000244556,0.000244556,0.000244556
8,30.2621,2.93602,3.63852,1.56323,0.00333,0.16129,0.00207,0.00058,1.95515,4.20185,1.09062,0.00027921,0.00027921,0.00027921
9,34.0707,2.41492,3.36176,1.31776,0.00467,0.22581,0.00328,0.00076,1.9154,4.14179,1.07365,0.000313072,0.000313072,0.000313072
10,37.73,2.50907,3.31724,1.41854,0.00467,0.22581,0.00324,0.00054,1.90664,4.08195,1.05654,0.000346142,0.000346142,0.000346142
11,41.4434,2.29971,3.0692,1.28026,0.006,0.29032,0.00468,0.0007,1.93378,4.01031,1.04589,0.00037842,0.00037842,0.00037842
12,45.0875,2.16686,2.83876,1.19101,0.006,0.29032,0.00468,0.0007,1.93378,4.01031,1.04589,0.000409906,0.000409906,0.000409906
13,48.8948,2.47581,2.83898,1.35715,0.00667,0.32258,0.00511,0.001,1.89475,3.89093,1.0287,0.0004406,0.0004406,0.0004406
