epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.909,1.59728,2.51433,1.68144,0.6,0.69863,0.6307,0.41239,1.14982,2.20595,1.28745,0.00015003,0.00015003,0.00015003
2,340.931,1.0325,1.5249,1.30071,0.6465,0.73907,0.74789,0.52434,1.08805,4.29122,1.21858,0.000313594,0.000313594,0.000313594
3,500.144,0.98568,1.37724,1.29849,0.6581,0.73288,0.77129,0.51886,1.31143,3.31244,1.42122,0.000473858,0.000473858,0.000473858
4,675.028,0.93265,1.09992,1.22026,0.69379,0.73973,0.75824,0.46678,1.34506,3.2745,1.52257,0.000630821,0.000630821,0.000630821
5,825.225,0.88905,1.13378,1.20916,0.5853,0.93151,0.77485,0.48915,1.27538,7.02824,1.58451,0.000784484,0.000784484,0.000784484
6,974.247,0.92871,1.07178,1.26734,0.59835,0.92466,0.77324,0.47703,1.37895,6.8785,1.63359,0.000934845,0.000934845,0.000934845
7,1123.37,1.05936,1.25613,1.29615,0.40708,0.89726,0.75016,0.46676,1.28663,9.98445,1.6462,0.00108191,0.00108191,0.00108191
8,1273.01,0.89389,0.94138,1.18073,0.46593,0.5,0.45787,0.25694,1.46502,5.17331,1.6538,0.00122567,0.00122567,0.00122567
9,1413.98,0.98935,1.00064,1.24619,0.41693,0.58219,0.37009,0.20527,1.54804,5.65056,1.94409,0.00136613,0.00136613,0.00136613
10,1549.96,1.04041,1.0065,1.31487,0.72104,0.72586,0.75774,0.51599,1.11795,2.1177,1.4201,0.00150329,0.00150329,0.00150329
11,1686.27,0.91629,0.95063,1.22615,0.30113,0.63699,0.27215,0.1503,1.83657,7.31874,1.82409,0.00150197,0.00150197,0.00150197
12,1821.27,0.97055,0.9701,1.21329,0.61773,0.69863,0.65533,0.38575,1.44304,3.80588,1.55884,0.00148546,0.00148546,0.00148546
13,1955.62,1.07255,1.05482,1.36863,0.68086,0.78082,0.75723,0.49161,1.08884,3.37623,1.33687,0.00146896,0.00146896,0.00146896
14,2092.99,0.98276,0.96888,1.27128,0.76112,0.82192,0.81445,0.56763,1.41048,2.04847,1.59362,0.00145246,0.00145246,0.00145246
15,2229,0.8664,0.85183,1.19932,0.70819,0.78082,0.75002,0.55076,1.35592,1.27457,1.57885,0.00143595,0.00143595,0.00143595
16,2366.61,0.85708,0.93065,1.20067,0.81512,0.65068,0.76625,0.58191,1.34478,1.09598,1.51265,0.00141945,0.00141945,0.00141945
17,2502.92,0.92848,0.9922,1.24214,0.83333,0.65068,0.77514,0.57925,1.35009,1.0202,1.42376,0.00140295,0.00140295,0.00140295
18,2638.5,0.83287,0.84374,1.17255,0.80881,0.83562,0.87675,0.66739,1.22316,1.12434,1.40438,0.00138644,0.00138644,0.00138644
