epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.0401,2.41211,4.62537,1.62338,0,0,0,0,2.36838,4.62016,1.60406,3.334e-05,3.334e-05,3.334e-05
2,167.021,2.0478,4.31036,1.44915,0,0,0,0,1.92455,4.3958,1.38217,8.27999e-05,8.27999e-05,8.27999e-05
3,229.944,1.9509,3.88503,1.28793,0,0,0,0,1.6631,4.19676,1.22409,0.0001316,0.0001316,0.0001316
4,293.535,1.68328,3.14779,1.13083,0,0,0,0,1.63565,3.96419,1.09665,0.000179739,0.000179739,0.000179739
5,363.719,1.6998,2.56895,1.05836,0,0,0,0,1.60557,3.76591,1.02543,0.000227219,0.000227219,0.000227219
6,427.768,1.58235,2.19974,1.02818,0,0,0,0,1.51319,3.69834,1.02659,0.000274038,0.000274038,0.000274038
7,490.249,1.53751,2.00901,1.04244,0,0,0,0,1.49926,3.70524,1.05604,0.000320197,0.000320197,0.000320197
8,548.021,1.39073,1.79349,1.03345,0,0,0,0,1.48942,3.74759,1.02808,0.000365696,0.000365696,0.000365696
9,609.502,1.34085,1.73209,0.98651,0,0,0,0,1.55268,3.897,1.06405,0.000410535,0.000410535,0.000410535
10,674.552,1.38408,1.64838,0.9636,0,0,0,0,1.59828,3.99029,1.08954,0.000454714,0.000454714,0.000454714
11,738.041,1.4122,1.62707,0.98283,0,0,0,0,1.56254,3.96596,1.05122,0.000498233,0.000498233,0.000498233
12,812.578,1.35125,1.47635,0.98496,0,0,0,0,1.61592,4.03644,1.0628,0.000541092,0.000541092,0.000541092
13,882.845,1.275,1.45092,0.96151,0,0,0,0,1.61822,4.15591,1.09979,0.00058329,0.00058329,0.00058329
14,954.338,1.35025,1.42856,0.96406,0,0,0,0,1.74641,4.11436,1.11181,0.000624828,0.000624828,0.000624828
15,1028.18,1.26464,1.32489,0.94167,0,0,0,0,1.91264,4.04518,1.14239,0.000665706,0.000665706,0.000665706
16,1101.18,1.30417,1.31939,0.9321,0,0,0,0,1.76275,3.9633,1.09581,0.000705924,0.000705924,0.000705924
17,1168.91,1.24742,1.27078,0.93571,0,0,0,0,1.6324,3.77053,1.04456,0.000745482,0.000745482,0.000745482
18,1239.91,1.20041,1.2658,0.92852,0,0,0,0,1.57711,3.60581,1.03517,0.00078438,0.00078438,0.00078438
19,1310.9,1.16575,1.19777,0.93026,0,0,0,0,1.54041,3.61319,1.02387,0.000822618,0.000822618,0.000822618
20,1381.71,1.1943,1.20394,0.93427,0,0,0,0,1.56508,3.63941,1.00641,0.000860195,0.000860195,0.000860195
21,1448.46,1.18075,1.19881,0.9088,0,0,0,0,1.53263,3.54296,1.00126,0.000897113,0.000897113,0.000897113
22,1519.88,1.17274,1.1692,0.92923,0,0,0,0,1.48055,3.48248,0.99173,0.00093337,0.00093337,0.00093337
23,1583.58,1.178,1.15419,0.92154,0,0,0,0,1.49262,3.42137,0.98082,0.000968967,0.000968967,0.000968967
24,1650.32,1.13239,1.14786,0.91516,0,0,0,0,1.53034,3.21352,0.9762,0.0010039,0.0010039,0.0010039
25,1726.46,1.13013,1.11353,0.91881,0,0,0,0,1.49437,3.05698,0.98514,0.00103818,0.00103818,0.00103818
26,1796.55,1.07789,1.08056,0.89403,0.125,0.00654,0.063,0.0252,1.51581,3.27756,1.00482,0.0010718,0.0010718,0.0010718
27,1862.72,1.07463,1.05168,0.89258,0,0,0,0,1.57912,3.31112,1.01162,0.00110475,0.00110475,0.00110475
28,1937.75,1.12133,1.01282,0.90416,0,0,0,0,1.5598,2.99043,0.9901,0.00113705,0.00113705,0.00113705
