epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0859,1.65141,3.10342,1.61739,0.04461,0.80137,0.33381,0.15423,1.12861,3.087,1.41347,6.668e-05,6.668e-05,6.668e-05
2,104.287,1.12944,2.78015,1.3117,0.07986,0.93151,0.68224,0.44372,0.79932,2.89434,1.09138,0.00014904,0.00014904,0.00014904
3,154.777,0.9179,2.08481,1.16268,0.08652,0.94521,0.77851,0.53897,0.74786,2.57689,1.06071,0.000230299,0.000230299,0.000230299
4,204.884,0.83242,1.54785,1.11359,0.95012,0.39145,0.7885,0.55703,0.79089,2.53149,1.10554,0.000310459,0.000310459,0.000310459
5,254.17,0.75883,1.38055,1.08282,0.66028,0.55479,0.60009,0.41311,0.94371,2.8698,1.28061,0.000389518,0.000389518,0.000389518
6,303.342,0.72927,1.34134,1.0637,0.88462,0.36763,0.64279,0.44215,0.95974,2.80854,1.27288,0.000467477,0.000467477,0.000467477
7,351.813,0.73329,1.0991,1.0528,0.9846,0.43795,0.83004,0.63272,0.80935,2.34393,1.09208,0.000544336,0.000544336,0.000544336
8,401.449,0.68367,1.09787,1.02653,0.89717,0.47806,0.80119,0.61024,0.84007,2.31748,1.114,0.000620094,0.000620094,0.000620094
9,453.1,0.74627,1.10042,1.04748,0.80066,0.56164,0.72603,0.52264,0.91422,2.05192,1.17843,0.000694752,0.000694752,0.000694752
10,502.439,0.67954,0.98588,0.99696,0.75004,0.73973,0.79749,0.57348,0.88793,1.60224,1.16341,0.00076831,0.00076831,0.00076831
11,552.226,0.64834,0.91863,0.97827,0.68732,0.67123,0.74175,0.52749,0.82052,1.74056,1.09416,0.000840768,0.000840768,0.000840768
12,602.727,0.65419,0.94561,0.99343,0.85145,0.70669,0.8074,0.57242,0.83955,1.60616,1.08866,0.000912126,0.000912126,0.000912126
13,651.718,0.64104,0.90043,0.99534,0.8456,0.71918,0.83447,0.61165,0.82491,1.3945,1.07986,0.000982383,0.000982383,0.000982383
14,700.056,0.63156,0.86592,0.98224,0.81501,0.76027,0.82767,0.63018,0.7741,1.35917,1.05068,0.00105154,0.00105154,0.00105154
15,749.965,0.63124,0.8129,0.98211,0.84201,0.73288,0.86086,0.64146,0.80881,1.29058,1.08991,0.0011196,0.0011196,0.0011196
16,806.714,0.6138,0.80556,0.97793,0.82873,0.82192,0.87031,0.63894,0.83124,1.24569,1.10463,0.00118655,0.00118655,0.00118655
17,857.572,0.63737,0.79715,0.96496,0.73532,0.84247,0.86142,0.65498,0.82409,1.15679,1.10855,0.00125241,0.00125241,0.00125241
18,906.202,0.62574,0.77937,0.98953,0.87417,0.76138,0.88157,0.66761,0.85063,1.13609,1.11856,0.00131717,0.00131717,0.00131717
19,954.374,0.63708,0.78606,0.98903,0.78207,0.79452,0.85649,0.65464,0.82669,1.19676,1.08822,0.00138082,0.00138082,0.00138082
20,1002.41,0.6231,0.7731,0.98738,0.73257,0.69178,0.75,0.50178,0.90959,1.58378,1.14247,0.00144338,0.00144338,0.00144338
21,1051.47,0.59944,0.78781,0.96619,0.66775,0.73288,0.75773,0.56393,0.84675,1.44032,1.10324,0.00144696,0.00144696,0.00144696
22,1099.94,0.64476,0.74919,0.97758,0.76385,0.68493,0.79421,0.58533,0.89414,1.34667,1.14517,0.00143595,0.00143595,0.00143595
23,1148.13,0.61915,0.75106,0.98307,0.81433,0.69095,0.81674,0.5951,0.89483,1.33162,1.12859,0.00142495,0.00142495,0.00142495
24,1198.25,0.56918,0.73189,0.94889,0.73731,0.73055,0.80856,0.61888,0.7938,1.29655,1.09747,0.00141395,0.00141395,0.00141395
25,1253.51,0.59119,0.77573,0.96232,0.73266,0.72603,0.80257,0.61064,0.85089,1.37566,1.11864,0.00140295,0.00140295,0.00140295
26,1302.15,0.57535,0.70538,0.95958,0.75078,0.74281,0.82673,0.62764,0.84897,1.34408,1.09893,0.00139195,0.00139195,0.00139195
27,1349.73,0.58274,0.6934,0.95135,0.78848,0.76596,0.85109,0.66721,0.79678,1.19686,1.10202,0.00138094,0.00138094,0.00138094
28,1399.22,0.5661,0.66726,0.94146,0.82084,0.81507,0.87146,0.66473,0.85068,1.07497,1.13213,0.00136994,0.00136994,0.00136994
29,1448.18,0.55532,0.66859,0.94893,0.85833,0.74658,0.84402,0.63331,0.8479,1.13777,1.13338,0.00135894,0.00135894,0.00135894
30,1496.02,0.55251,0.64059,0.95499,0.82392,0.76919,0.82517,0.62459,0.82108,1.2584,1.11629,0.00134794,0.00134794,0.00134794
31,1544.4,0.5502,0.67617,0.93886,0.81915,0.71354,0.81966,0.61387,0.84167,1.35231,1.12598,0.00133693,0.00133693,0.00133693
32,1593.33,0.54664,0.6355,0.95723,0.85933,0.70548,0.82332,0.618,0.87783,1.37112,1.14705,0.00132593,0.00132593,0.00132593
33,1643.05,0.55284,0.61846,0.9365,0.91643,0.67603,0.83921,0.64448,0.82822,1.20763,1.11627,0.00131493,0.00131493,0.00131493
34,1692.57,0.54811,0.63598,0.94402,0.80391,0.81507,0.88569,0.69875,0.78474,1.03304,1.08834,0.00130393,0.00130393,0.00130393
35,1742.44,0.51744,0.57542,0.90624,0.84539,0.82394,0.88987,0.69069,0.78843,0.9852,1.08543,0.00129293,0.00129293,0.00129293
36,1792.67,0.53183,0.5992,0.93267,0.83937,0.8232,0.88818,0.67485,0.8311,1.03039,1.10991,0.00128192,0.00128192,0.00128192
37,1843.4,0.59801,0.65994,0.95026,0.80334,0.84247,0.88888,0.69097,0.79015,1.00906,1.08441,0.00127092,0.00127092,0.00127092
38,1896.92,0.53671,0.60967,0.91471,0.89309,0.80105,0.89681,0.71037,0.77697,0.98471,1.07007,0.00125992,0.00125992,0.00125992
39,1945.55,0.55595,0.59452,0.94005,0.86562,0.79417,0.88364,0.7067,0.79175,1.01144,1.08917,0.00124892,0.00124892,0.00124892
40,1994.26,0.51123,0.57068,0.91805,0.8404,0.74658,0.82642,0.62812,0.79521,1.09225,1.09882,0.00123791,0.00123791,0.00123791
41,2043.26,0.49246,0.55046,0.87836,0.85883,0.76712,0.85059,0.66212,0.76887,1.03317,1.08603,0.00122691,0.00122691,0.00122691
42,2093.21,0.49047,0.53767,0.90478,0.85607,0.8148,0.86794,0.66867,0.78189,0.97784,1.09498,0.00121591,0.00121591,0.00121591
43,2141.8,0.50533,0.55365,0.90753,0.92361,0.78767,0.88136,0.68357,0.8068,0.94756,1.10238,0.00120491,0.00120491,0.00120491
44,2190.23,0.51364,0.54698,0.91692,0.83526,0.83343,0.89974,0.7054,0.77369,0.89128,1.08553,0.00119391,0.00119391,0.00119391
45,2239.63,0.48173,0.54795,0.91261,0.86888,0.81699,0.91645,0.72217,0.746,0.83067,1.06614,0.0011829,0.0011829,0.0011829
46,2289.56,0.51066,0.54226,0.90837,0.94226,0.82192,0.93206,0.71173,0.763,0.81801,1.07213,0.0011719,0.0011719,0.0011719
47,2339.92,0.48808,0.52531,0.90964,0.84933,0.89726,0.92166,0.72439,0.77861,0.81977,1.07746,0.0011609,0.0011609,0.0011609
48,2388.86,0.53226,0.52456,0.90949,0.93213,0.78767,0.92135,0.69734,0.80521,0.87722,1.10704,0.0011499,0.0011499,0.0011499
49,2438.96,0.48367,0.51738,0.89713,0.93063,0.80137,0.92491,0.71337,0.77417,0.8401,1.08526,0.00113889,0.00113889,0.00113889
