epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.422,1.92654,2.78314,1.73838,0.39677,0.51793,0.41165,0.25744,1.42668,2.77587,1.29659,0.00011669,0.00011669,0.00011669
2,304.302,1.33288,1.65315,1.34402,0.58814,0.54521,0.54961,0.30391,1.61791,2.59781,1.28012,0.0002484,0.0002484,0.0002484
3,428.784,1.24477,1.50803,1.2428,0.60303,0.71193,0.67192,0.39988,1.38787,2.96513,1.26224,0.000378349,0.000378349,0.000378349
4,551.852,1.09746,1.34288,1.1543,0.48075,0.68746,0.51659,0.28756,1.38511,3.13065,1.2976,0.000506538,0.000506538,0.000506538
5,675.702,1.11291,1.23289,1.20027,0.554,0.62633,0.58811,0.32621,1.60446,2.25015,1.34104,0.000632967,0.000632967,0.000632967
6,796.104,1.08346,1.21611,1.17541,0.44917,0.72453,0.45537,0.22144,1.71562,3.21407,1.467,0.000757635,0.000757635,0.000757635
7,916.737,1.22491,1.32623,1.29121,0.60181,0.65729,0.64742,0.35912,1.43793,2.06624,1.2792,0.000880543,0.000880543,0.000880543
8,1037.82,1.20956,1.21416,1.28999,0.40277,0.57481,0.38494,0.14799,1.98217,3.93998,1.70514,0.00100169,0.00100169,0.00100169
9,1158.43,1.13706,1.20289,1.21596,0.17973,0.2761,0.16433,0.07396,1.94722,3.3405,1.61362,0.00112108,0.00112108,0.00112108
10,1279.21,1.13124,1.34013,1.20625,0.25848,0.34553,0.21173,0.08238,2.09114,5.71214,1.76177,0.0012387,0.0012387,0.0012387
11,1399.23,1.13927,1.14425,1.19573,0.24871,0.61794,0.29337,0.1495,1.6673,9.45315,1.58847,0.00135457,0.00135457,0.00135457
12,1519.27,1.13599,1.23978,1.23263,0.29005,0.53033,0.29491,0.17492,1.57041,7.52314,1.54642,0.00146868,0.00146868,0.00146868
13,1640.05,1.27869,1.25692,1.31624,0.17106,0.43178,0.13726,0.05171,2.24357,10.5833,2.25326,0.00153497,0.00153497,0.00153497
14,1760.33,1.22153,1.14221,1.24041,0.18519,0.44953,0.1258,0.05312,1.98633,44.6048,4.69035,0.00152397,0.00152397,0.00152397
15,1879.93,1.09923,1.15828,1.21839,0.23922,0.50406,0.16381,0.08766,1.67177,52.9598,2.74221,0.00151297,0.00151297,0.00151297
16,1999.61,1.09919,1.03521,1.18763,0.38913,0.49346,0.2427,0.11992,1.84424,5.86887,1.77945,0.00150197,0.00150197,0.00150197
17,2119.41,1.13456,1.05956,1.21365,0.63702,0.55256,0.61675,0.36905,1.32096,1.50274,1.29584,0.00149096,0.00149096,0.00149096
18,2240.39,1.11835,1.06274,1.22439,0.38105,0.62338,0.35152,0.17898,1.39785,2.51662,1.33697,0.00147996,0.00147996,0.00147996
19,2360.96,1.13821,0.95936,1.19311,0.70617,0.74655,0.76401,0.4411,1.66047,1.26211,1.40976,0.00146896,0.00146896,0.00146896
20,2483.75,1.11125,0.9413,1.17431,0.76758,0.79721,0.86452,0.5314,1.3704,1.20759,1.24029,0.00145796,0.00145796,0.00145796
21,2604.9,1.13286,0.96154,1.19495,0.72529,0.78165,0.8483,0.51219,1.15216,1.13532,1.13352,0.00144696,0.00144696,0.00144696
22,2724.58,1.15834,1.02045,1.261,0.81204,0.6794,0.80792,0.50072,1.25292,1.1187,1.20504,0.00143595,0.00143595,0.00143595
23,2845.44,1.16775,1.00369,1.23598,0.73433,0.76923,0.79495,0.44914,1.49169,1.16379,1.31754,0.00142495,0.00142495,0.00142495
24,2966.1,1.07339,0.92123,1.17922,0.76482,0.7841,0.81737,0.50107,1.42807,1.09685,1.24698,0.00141395,0.00141395,0.00141395
25,3086.96,1.05388,0.91925,1.17239,0.76748,0.81156,0.84189,0.53516,1.31652,1.03256,1.1529,0.00140295,0.00140295,0.00140295
26,3208.29,1.0358,0.88999,1.16782,0.78999,0.77779,0.8538,0.54056,1.27209,1.0123,1.10805,0.00139195,0.00139195,0.00139195
